Time,Object Name,Status,Value,Units,Alert ID,Priority
04.03.2019 10:28:12,TIC Turbo Speed,,1.6,,0,0
04.03.2019 10:28:12,TIC Turbo Power,,8.0,,0,0
04.03.2019 10:28:12,TIC Gauge 1,11,1.0000e+05,59,0,0
04.03.2019 10:28:12,TIC Gauge 2,5,9.9000e+09,59,0,0
04.03.2019 10:28:12,TIC Gauge 3,5,9.9000e+09,59,0,0
04.03.2019 10:28:14,TIC Turbo Speed,,1.6,,0,0
04.03.2019 10:28:14,TIC Turbo Power,,8.0,,0,0
04.03.2019 10:28:14,TIC Gauge 1,11,1.0000e+05,59,0,0
04.03.2019 10:28:14,TIC Gauge 2,5,9.9000e+09,59,0,0
04.03.2019 10:28:14,TIC Gauge 3,5,9.9000e+09,59,0,0
04.03.2019 10:28:16,TIC Gauge 1,11,1.0000e+05,59,0,0
04.03.2019 10:28:16,TIC Turbo Speed,,1.6,,0,0
04.03.2019 10:28:16,TIC Turbo Power,,8.2,,0,0
04.03.2019 10:28:16,TIC Gauge 2,5,9.9000e+09,59,0,0
04.03.2019 10:28:16,TIC Gauge 3,5,9.9000e+09,59,0,0
04.03.2019 10:28:18,TIC Turbo Speed,,1.6,,0,0
04.03.2019 10:28:18,TIC Turbo Power,,7.5,,0,0
04.03.2019 10:28:18,TIC Gauge 1,11,1.0000e+05,59,0,0
04.03.2019 10:28:18,TIC Gauge 2,5,9.9000e+09,59,0,0
04.03.2019 10:28:18,TIC Gauge 3,5,9.9000e+09,59,0,0
04.03.2019 10:28:20,TIC Turbo Speed,,1.6,,0,0
04.03.2019 10:28:20,TIC Turbo Power,,6.1,,0,0
04.03.2019 10:28:20,TIC Gauge 1,11,1.0000e+05,59,0,0
04.03.2019 10:28:20,TIC Gauge 2,5,9.9000e+09,59,0,0
04.03.2019 10:28:20,TIC Gauge 3,5,9.9000e+09,59,0,0
04.03.2019 10:28:22,TIC Gauge 3,5,9.9000e+09,59,0,0
04.03.2019 10:28:22,TIC Turbo Speed,,1.6,,0,0
04.03.2019 10:28:22,TIC Turbo Power,,6.5,,0,0
04.03.2019 10:28:22,TIC Gauge 1,11,1.0000e+05,59,0,0
04.03.2019 10:28:22,TIC Gauge 2,5,9.9000e+09,59,0,0
04.03.2019 10:28:24,TIC Turbo Speed,,1.6,,0,0
04.03.2019 10:28:24,TIC Turbo Power,,6.8,,0,0
04.03.2019 10:28:24,TIC Gauge 1,11,1.0000e+05,59,0,0
04.03.2019 10:28:25,TIC Gauge 2,5,9.9000e+09,59,0,0
04.03.2019 10:28:25,TIC Gauge 3,5,9.9000e+09,59,0,0
04.03.2019 10:28:26,TIC Turbo Speed,,1.6,,0,0
04.03.2019 10:28:26,TIC Turbo Power,,7.5,,0,0
04.03.2019 10:28:27,TIC Gauge 1,11,1.0000e+05,59,0,0
